ID	Label	Keywords/Query
0	NO	αντρικές δουλειές
1	PH	αντρικές δουλειές
2	IH	αντρικές δουλειές
3	IH	αντρικές δουλειές
4	IH	αντρικές δουλειές
5	IH	αντρικές δουλειές
6	IH	αντρικές δουλειές
7	ΙΗ	αντρικές δουλειές
8	ΙΗ	αντρικές δουλειές
9	ΝΟ	αντρικές δουλειές
10	PH	αντρικές δουλειές
11	NO	αντρικές δουλειές
12	PH	αντρικές δουλειές
13	IH	αντρικές δουλειές
14	IH	αντρικές δουλειές
15	PH	αντρικές δουλειές
16	IH	αντρικές δουλειές
17	IH	αντρικές δουλειές
18	ΝΟ	αντρικές δουλειές
19	ΝΟ	αντρικές δουλειές
20	PH	αντρικές δουλειές
21	ΙΗ	αντρικές δουλειές
22	PH	αντρικές δουλειές
23	NO	αντρικές δουλειές
24	IH	γυναικείες δουλειές
25	IH	γυναικείες δουλειές
26	NO	γυναικείες δουλειές
27	ΙΗ	γυναικείες δουλειές
28	PH	γυναικείες δουλειές
29	IH	γυναικείες δουλειές
30	IH	γυναικείες δουλειές
31	IH	γυναικείες δουλειές
32	NO	γυναικείες δουλειές
33	PH	οι άνδρες δεν κλαίνε/γυναικείες δουλειές
34	PH	γυναικείες δουλειές
35	IH	γυναικείες δουλειές
36	NO	γυναικείες δουλειές
37	IH	γυναικείες δουλειές
38	IH	γυναικείες δουλειές
39	NO	γυναικείες δουλειές
40	NO	γυναικείες δουλειές
41	NO	γυναικείες δουλειές
42	NO	γυναικείες δουλειές
43	PH	γυναικείες δουλειές
44	NO	γυναικείες δουλειές
45	IH	γυναικείες δουλειές
46	IH	γυναικείες δουλειές
47	NO	γυναικείες δουλειές
48	NO	γυναικείες δουλειές
49	NO	γυναικείες δουλειές
50	NO	γυναικείες δουλειές
51	NO	γυναικείες δουλειές
52	NO	γυναικείες δουλειές
53	NO	γυναικείες δουλειές
54	NO	γυναικείες δουλειές
55	NO	γυναικείες δουλειές
56	NO	γυναικείες δουλειές
57	PH	τοξική αρρενωπότητα
58	PH	τοξική αρρενωπότητα
59	NO	τοξική αρρενωπότητα
60	SH	τοξική αρρενωπότητα
61	NO	τοξική αρρενωπότητα
62	IH	τοξική αρρενωπότητα
63	IH	τοξική αρρενωπότητα
64	NO	τοξική αρρενωπότητα
65	IH	τοξική αρρενωπότητα
66	IH	τοξική αρρενωπότητα
67	NO	τοξική αρρενωπότητα
68	NO	τοξική αρρενωπότητα
69	PH	τοξική αρρενωπότητα
70	ΝΟ	τοξικότητα
71	ΝΟ	τοξικότητα
72	ΝΟ	τοξικότητα
73	ΝΟ	τοξικότητα
74	ΝΟ	τοξικότητα
75	ΝΟ	τοξικότητα
76	ΝΟ	τοξικότητα
77	ΝΟ	τοξικότητα
78	ΝΟ	τοξικότητα
79	ΝΟ	τοξικότητα
80	ΝΟ	τοξικότητα
81	ΝΟ	τοξικότητα
82	ΝΟ	τοξικότητα
83	ΝΟ	τοξικότητα
84	ΝΟ	τοξικότητα
85	ΝΟ	τοξικότητα
86	ΝΟ	τοξικότητα
87	ΝΟ	τοξικότητα
88	ΝΟ	τοξικότητα
89	ΝΟ	τοξικότητα
90	ΝΟ	τοξικότητα
91	ΝΟ	τοξικότητα
92	ΝΟ	τοξικότητα
93	ΝΟ	τοξικότητα
94	ΝΟ	τοξικότητα
95	NO	τοξικότητα
96	NO	τοξικότητα
97	NO	τοξικότητα
98	IH	τοξικότητα
99	ΙΗ	παρενόχληση
100	ΝΟ	παρενόχληση
101	ΝΟ	παρενόχληση
102	ΝΟ	παρενόχληση
103	ΙΗ	παρενόχληση
104	ΝΟ	παρενόχληση
105	ΙΗ	παρενόχληση
106	ΝΟ	παρενόχληση
107	ΝΟ	παρενόχληση
108	ΝΟ	παρενόχληση
109	ΝΟ	παρενόχληση
110	ΝΟ	παρενόχληση
111	ΝΟ	παρενόχληση
112	ΝΟ	παρενόχληση
113	ΝΟ	παρενόχληση
114	ΝΟ	παρενόχληση
115	ΙΗ	παρενόχληση
116	ΝΟ	παρενόχληση
117	ΝΟ	παρενόχληση
118	ΝΟ	παρενόχληση
119	ΝΟ	παρενόχληση
120	ΝΟ	παρενόχληση
121	ΝΟ	παρενόχληση
122	ΝΟ	παρενόχληση
123	ΝΟ	παρενόχληση
124	ΝΟ	παρενόχληση
125	IH	μισογύνης-σεξιστής
126	SH	μισογύνης
127	NO	μισογύνης
128	NO	μισογύνης
129	IH	μισογύνης
130	IH	μισογύνης
131	NO	μισογύνης
132	NO	μισογύνης
133	NO	μισογύνης
134	NO	σεξιστής
135	SH	σεξιστής
136	NO	σεξιστής
137	NO	σεξιστής
138	NO	σεξιστής
139	NO	σεξιστής
140	NO	σεξιστής
141	NO	σεξιστής
142	NO	σεξισμός-σεξιστής
143	NO	σεξισμός, σεξιστής
144	NO	σεξιστής
145	NO	σεξιστής
146	NO	σεξιστής
147	NO	σεξιστής
148	IH	σεξιστής
149	NO	σεξιστής
150	NO	σεξισμός
151	NO	σεξισμός
152	IH	σεξισμός
153	NO	σεξισμός
154	NO	σεξισμός
155	PH	σεξισμός
156	NO	σεξισμός
157	NO	σεξισμός
158	NO	σεξισμός
159	SH	σεξισμός
160	NO	σεξισμός
161	NO	σεξισμός
162	NO	σεξισμός
163	NO	σεξισμός
164	NO	σεξισμός
165	NO	σεξισμός
166	NO	σεξισμός
167	NO	σεξισμός
168	IH	σεξισμός
169	IH	σεξισμός
170	IH	δουλάρες
171	IH	δουλάρες
172	NO	δουλάρες
173	NO	δουλάρες
174	NO	δουλάρες
175	NO	δουλάρες
176	NO	δουλάρες
177	PH	δουλάρες
178	NO	δουλάρες
179	IH	δουλάρες
180	NO	δουλάρες
181	IH	δουλάρες
182	IH	δουλάρες
183	IH	δουλάρες
184	IH	δουλάρες
185	NO	δουλάρες
186	NO	δουλάρες
187	NO	δουλάρες
188	NO	δουλάρες
189	IH	δουλάρες
190	NO	δούλες στο σπίτι
191	IH	δούλες στο σπίτι
192	NO	δούλες στο σπίτι
193	NO	δούλες στο σπίτι
194	NO	δούλες στο σπίτι
195	NO	δούλες στο σπίτι
196	IH	δούλες στο σπίτι
197	NO	δούλες στο σπίτι
198	IH	δούλες στο σπίτι
199	NO	δούλες στο σπίτι
200	NO	δούλες στο σπίτι
201	NO	δούλες στο σπίτι
202	NO	δούλες στο σπίτι
203	NO	δούλες στο σπίτι
204	PH	δούλες στο σπίτι
205	NO	δούλες στο σπίτι
206	NO	δούλες στο σπίτι
207	NO	δούλες στο σπίτι
208	IH	δούλες στο σπίτι
209	NO	νοικοκυρές
210	NO	νοικοκυρές
211	NO	νοικοκυρές
212	IH	νοικοκυρές
213	NO	νοικοκυρές
214	NO	νοικοκυρές
215	NO	νοικοκυρές
216	NO	νοικοκυρές
217	NO	νοικοκυρές
218	NO	νοικοκυρές
219	NO	νοικοκυρές
220	NO	νοικοκυρές
221	NO	νοικοκυρές
222	IH	νοικοκυρές
223	NO	νοικοκυρές
224	IH	νοικοκυρές
225	NO	νοικοκυρές
226	IH	νοικοκυρές
227	NO	νοικοκυρές
228	NO	νοικοκυρές
229	NO	δούλα και κυρά
230	NO	δούλα και κυρά
231	NO	δούλα και κυρά
232	IH	δούλα και κυρά
233	NO	δούλα και κυρά
234	IH	δούλα και κυρά
235	NO	δούλα και κυρά
236	IH	δούλα και κυρά
237	IH	δούλα και κυρά
238	IH	δούλα και κυρά
239	IH	δούλα και κυρά
240	IH	δούλα και κυρά
241	IH	δούλα και κυρά
242	IH	δούλα και κυρά
243	IH	δούλα και κυρά
244	IH	δούλα και κυρά
245	IH	δούλα και κυρά
246	IH	δούλα και κυρά
247	IH	δούλα και κυρά
248	IH	δούλα και κυρά
249	IH	δούλα και κυρά
250	IH	δούλα και κυρά
251	IH	δούλα και κυρά
252	PH	από φωνή κορμάρα
253	IH	από φωνή κορμάρα
254	NO	από φωνή κορμάρα
255	IH	από φωνή κορμάρα
256	IH	από φωνή κορμάρα
257	SH	από φωνή κορμάρα
258	IH	από φωνή κορμάρα
259	IH	από φωνή κορμάρα
260	IH	από φωνή κορμάρα
261	IH	από φωνή κορμάρα
262	IH	από φωνή κορμάρα
263	IH	από φωνή κορμάρα
264	IH	από φωνή κορμάρα
265	IH	από φωνή κορμάρα
266	IH	από φωνή κορμάρα
267	IH	από φωνή κορμάρα
268	IH	από φωνή κορμάρα
269	IH	από φωνή κορμάρα
270	IH	από φωνή κορμάρα
271	IH	από φωνή κορμάρα
272	IH	από φωνή κορμάρα
273	NO	από φωνή κορμάρα
274	IH	από φωνή κορμάρα
275	NO	από φωνή κορμάρα
276	IH	από φωνή κορμάρα
277	IH	από φωνή κορμάρα
278	IH	από φωνή κορμάρα
279	PH	από φωνή κορμάρα
280	IH	από φωνή κορμάρα
281	IH	από φωνή κορμάρα
282	IH	από φωνή κορμάρα
283	IH	από φωνή κορμάρα
284	IH	από φωνή κορμάρα
285	IH	από φωνή κορμάρα
286	IH	από φωνή κορμάρα
287	IH	από φωνή κορμάρα
288	IH	από φωνή κορμάρα
289	IH	από φωνή κορμάρα
290	IH	από φωνή κορμάρα
291	PH	από φωνή κορμάρα
292	IH	γυναικεία υποκρισία
293	PH	γυναικεία υποκρισία
294	PH	ψεύτικη γυναίκα
295	PH	ψεύτικη γυναίκα
296	NO	ψεύτικη γυναίκα
297	NO	ψεύτικη γυναίκα
298	NO	ψεύτικη γυναίκα
299	NO	ψεύτικη γυναίκα
300	NO	ψεύτικη γυναίκα
301	IH	ψεύτικη γυναίκα
302	NO	ψεύτικη γυναίκα
303	PH	ψεύτικη γυναίκα
304	NO	ψεύτικη γυναίκα
305	NO	κούκλα γυναίκα
306	NO	κούκλα γυναίκα
307	NO	κούκλα γυναίκα
308	NO	κούκλα γυναίκα
309	NO	κούκλα γυναίκα
310	NO	κούκλα γυναίκα
311	NO	κούκλα γυναίκα
312	NO	κούκλα γυναίκα
313	NO	κούκλα γυναίκα
314	NO	κούκλα γυναίκα
315	IH	κούκλα γυναίκα
316	NO	κούκλα γυναίκα
317	NO	κούκλα γυναίκα
318	NO	κούκλα γυναίκα
319	NO	κούκλα γυναίκα
320	NO	κούκλα γυναίκα
321	IH	κούκλα γυναίκα
322	NO	κούκλα γυναίκα
323	PH	κούκλα γυναίκα
324	NO	έξυπνη γυναίκα
325	NO	έξυπνη γυναίκα
326	NO	έξυπνη γυναίκα
327	NO	έξυπνη γυναίκα
328	NO	έξυπνη γυναίκα
329	PH	γυναίκες οδηγοί
330	NO	γυναίκες οδηγοί
331	PH	γυναίκες οδηγοί
332	NO	γυναίκες οδηγοί
333	NO	γυναίκες οδηγοί
334	PH	γυναίκες οδηγοί
335	NO	γυναίκες οδηγοί
336	NO	γυναίκες οδηγοί
337	PH	γυναίκες οδηγοί
338	PH	γυναίκες οδηγοί
339	NO	γυναίκες οδηγοί
340	PH	γυναίκες οδηγοί
341	NO	γυναίκες οδηγοί
342	PH	γυναίκες οδηγοί
343	NO	γυναίκες οδηγοί
344	NO	γυναίκες οδηγοί
345	NO	γυναίκες οδηγοί
346	NO	γυναίκες οδηγοί
347	NO	γυναίκες οδηγοί
348	NO	σκύλα
349	NO	σκύλα
350	NO	σκύλα
351	NO	σκύλα
352	NO	σκύλα
353	NO	σκύλα
354	NO	σκύλα
355	NO	σκύλα
356	NO	σκύλα
357	NO	σκύλα
360	NO	σκύλα
361	NO	σκύλα
362	NO	σκύλα
363	IH	να φερθείς σαν άντρας
364	PH	να φερθείς σαν άντρας
365	IH	να φερθείς σαν άντρας
366	NO	να φερθείς σαν άντρας
367	NO	να φερθείς σαν άντρας
368	NO	να φερθείς σαν άντρας
369	NO	να φερθείς σαν άντρας
370	NO	να φερθείς σαν άντρας
371	NO	να φερθείς σαν άντρας
372	NO	να φερθείς σαν άντρας
373	NO	να φερθείς σαν άντρας
374	NO	να φερθείς σαν άντρας
375	NO	για άντρας
376	PH	για άντρας
377	NO	για άντρας
378	IH	για άντρας
379	NO	για άντρας
380	IH	για άντρας
381	NO	ξανθιές
382	NO	ξανθιές
383	IH	ξανθιές
384	NO	ξανθιές
385	NO	ξανθιές
386	PH	ξανθιές
387	NO	ξανθιές
388	NO	ξανθιές
389	NO	ξανθιές
390	NO	ξανθιές
391	NO	ξανθιές
392	NO	ξανθιές
393	IH	ξανθιές
394	SH	ξανθιές
395	IH	ξανθιές
396	PH	ξανθιές
397	IH	Λατινοπούλου
398	NO	Λατινοπούλου
399	NO	Λατινοπούλου
400	NO	Λατινοπούλου
401	NO	Λατινοπούλου
402	NO	Λατινοπούλου
403	NO	Λατινοπούλου
404	NO	Λατινοπούλου
405	NO	Λατινοπούλου
406	NO	Λατινοπούλου
407	PH	Λατινοπούλου
408	NO	γκόμενα
409	NO	γκόμενα
410	NO	γκόμενα
411	NO	γκόμενα
412	IH	γκόμενα
413	NO	γκόμενα
414	NO	γκόμενα
415	NO	γκόμενα
416	PH	γκόμενα
417	NO	γκόμενα
418	SH	γκόμενα
419	NO	οι άντρες δεν κλαίνε
420	NO	οι άντρες δεν κλαίνε
421	NO	οι άντρες δεν κλαίνε
422	IH	οι άντρες δεν κλαίνε
423	IH	οι άντρες δεν κλαίνε
424	NO	οι άντρες δεν κλαίνε
425	NO	οι άντρες δεν κλαίνε
426	NO	οι άντρες δεν κλαίνε
427	NO	οι άντρες δεν κλαίνε
428	NO	οι άντρες δεν κλαίνε
429	IH	οι άντρες δεν κλαίνε
430	NO	οι άντρες δεν κλαίνε
431	NO	οι άντρες δεν κλαίνε
432	NO	οι άντρες δεν κλαίνε
433	NO	οι γυναίκες δεν βρίζουν
434	NO	οι γυναίκες δεν βρίζουν
435	NO	οι γυναίκες δεν βρίζουν
436	IH	οι γυναίκες δεν βρίζουν
437	IH	οι γυναίκες δεν βρίζουν
438	IH	οι γυναίκες δεν βρίζουν
439	NO	οι γυναίκες δεν βρίζουν
440	NO	οι γυναίκες δεν βρίζουν
441	NO	οι γυναίκες δεν βρίζουν
442	NO	οι γυναίκες δεν βρίζουν
443	NO	οι γυναίκες δεν βρίζουν
444	NO	οι γυναίκες δεν βρίζουν
445	NO	οι γυναίκες δεν βρίζουν
446	NO	οι γυναίκες δεν βρίζουν
447	NO	ντελικάτες
448	NO	ντελικάτες
449	NO	ντελικάτες
450	SH	ντελικάτες
451	NO	ντελικάτες
452	NO	ντελικάτες
453	IH	ντελικάτες
454	NO	ντελικάτες
455	NO	ντελικάτες
456	NO	ντελικάτες
457	NO	ντελικάτες
458	NO	ντελικάτες
459	NO	ντελικάτες
460	NO	ντελικάτες
461	IH	ντελικάτες
462	NO	ντελικάτες
463	NO	ντελικάτες
464	NO	ντελικάτες
465	NO	ντελικάτες
466	PH	γκαστρωμένη γυναίκα
467	PH	γκαστρωμένη γυναίκα
468	PH	γκαστρωμένη γυναίκα
469	SH	γκαστρωμένη γυναίκα
470	IH	γκαστρωμένη γυναίκα
471	NO	γκαστρωμένη γυναίκα
472	NO	γκαστρωμένη γυναίκα
473	IH	γυναίκες σπίτι δουλειές
474	PH	γυναίκες σπίτι δουλειές
475	NO	γυναίκες σπίτι δουλειές
476	NO	γυναίκες σπίτι δουλειές
477	NO	γυναίκες σπίτι δουλειές
478	NO	ξύρισμα γυναίκες
479	NO	ξύρισμα γυναίκες
480	NO	ξύρισμα γυναίκες
481	NO	ξύρισμα γυναίκες
482	IH	ξύρισμα γυναίκες
483	NO	ξύρισμα γυναίκες
484	IH	ξύρισμα γυναίκες
485	PH	ξύρισμα γυναίκες
486	PH	ξύρισμα γυναίκες
487	PH	ξύρισμα άνδρες/ ξύρισμα γυναίκες
488	NO	ξύρισμα γυναίκες
489	IH	ξύρισμα γυναίκες
490	NO	ξύρισμα γυναίκες
491	IH	ξύρισμα άνδρες/ ξύρισμα γυναίκες
492	IH	γυναίκες βάψιμο
493	NO	γυναίκες βάψιμο
494	IH	γυναίκες βάψιμο
495	NO	γυναίκες βάψιμο
496	NO	γυναίκες βάψιμο
497	IH	γυναίκες βάψιμο
498	NO	γυναίκες βάψιμο
499	NO	γυναίκες βάψιμο
500	NO	γυναίκες βάψιμο
501	NO	γυναίκες βάψιμο
502	IH	γυναίκες βάψιμο
503	NO	γυναίκες βάψιμο
504	NO	γυναίκες στόκος
505	NO	γυναίκες στόκος
506	NO	γυναίκες στόκος
507	NO	γυναίκες στόκος
508	NO	γυναίκες στόκος
509	NO	γυναίκες στόκος
510	NO	γυναίκες στόκος
511	PH	γυναίκες στόκος
512	PH	γυναίκες στόκος
513	NO	γυναίκες στόκος
514	NO	γυναίκες στόκος
515	NO	γυναίκες στόκος
516	NO	γυναίκες στόκος
517	NO	γυναίκες στόκος
518	IH	ξύρισμα άντρες
519	NO	ξύρισμα άντρες
520	NO	ξύρισμα άντρες
521	NO	ξύρισμα άντρες
522	NO	ξύρισμα άντρες
523	NO	ξύρισμα άντρες
524	IH	ξύρισμα άντρες
525	NO	ξύρισμα άντρες
526	NO	ξύρισμα άντρες
527	NO	ξύρισμα άντρες
528	IH	ξύρισμα άντρες
529	PH	ξύρισμα άντρες
530	NO	τοξικότητα αντρών
531	NO	τοξικότητα αντρών
532	PH	τοξικότητα αντρών
533	NO	τοξικότητα αντρών
534	NO	τοξικότητα αντρών
535	IH	τοξικότητα αντρών
536	NO	τοξικότητα αντρών
537	NO	τοξικότητα αντρών
538	NO	τοξικότητα αντρών
539	NO	αντρική υποκρισία
540	NO	αντρική υποκρισία
541	NO	αντρική υποκρισία
542	IH	κατίνα άντρας
543	IH	κατίνα γυναίκα, κατίνα άντρας
544	IH	κατίνα άντρας
545	NO	κατίνα άντρας
546	NO	κατίνα άντρας
547	IH	κατίνα άντρας
548	PH	κατίνα γυναίκα, κατίνα άντρας
549	IH	κατίνα άντρας
550	IH	κατίνα άντρας
551	IH	κατίνα άντρας
552	NO	κατίνα γυναίκα, κατίνα άντρας
553	IH	κατίνα γυναίκα
554	IH	κατίνα γυναίκα
555	PH	κατίνα γυναίκα
556	SH	κατίνα γυναίκα
557	IH	κατίνα γυναίκα
558	NO	κατίνα γυναίκα
559	NO	κατίνα γυναίκα
560	NO	κατίνα γυναίκα
561	IH	κατίνα γυναίκα
562	NO	κατίνα γυναίκα
563	NO	τριτοδεύτερη γυναίκα
564	NO	τριτοδεύτερη γυναίκα
565	IH	τριτοδεύτερη γυναίκα
566	NO	τριτοδεύτερη γυναίκα
567	PH	τριτοδεύτερη γυναίκα
568	PH	τριτοδεύτερη γυναίκα
569	NO	τριτοδεύτερη γυναίκα
570	NO	metoo
571	NO	metoo
572	NO	metoo
573	NO	metoo
574	NO	metoo
575	NO	metoo
576	NO	metoo
577	NO	metoo
578	NO	metoo
579	NO	metoo
580	NO	metoo
581	NO	metoo
582	NO	metoo
583	NO	metoo
584	NO	metoo
585	NO	metoo
586	NO	metoo
587	NO	metoo
588	NO	metoo
589	NO	metoo
590	NO	metoo
591	SH	metoo
592	NO	metoo
593	NO	metoo
594	NO	metoo
595	NO	metoo
596	NO	metoo
597	NO	metoo
598	NO	metoo
599	NO	metoo
600	NO	metoo
601	NO	metoo
602	NO	metoo
603	NO	metoo
604	NO	metoo
605	NO	metoo
606	NO	metoo
607	NO	metoo
608	NO	metoo
609	NO	metoo
610	IH	σεξ
611	NO	σεξ
612	IH	σεξ
613	NO	σεξ
614	NO	σεξ
615	NO	σεξ
616	NO	σεξ
617	NO	σεξ
618	NO	σεξ
619	NO	σεξ
620	NO	bitch
621	NO	bitch
622	NO	bitch
623	NO	bitch
624	NO	bitch
625	NO	bitch
626	NO	bitch
627	NO	bitch
628	PH	bitch
629	NO	bitch
630	NO	bitch
631	NO	bitch
632	PH	bitch
633	NO	bitch
634	NO	bitch
635	NO	bitch
636	NO	bitch
637	NO	bitch
638	NO	bitch
639	NO	bitch
640	NO	bitch
641	NO	bitch
642	IH	bitch
643	NO	fuck
644	SH	fuck
645	NO	fuck
646	SH	fuck
647	SH	fuck/ γυμνός
648	NO	fuck
649	NO	fuck
650	NO	fuck
651	NO	fuck
652	NO	fuck
653	NO	fuck
654	NO	fuck
655	NO	fuck/fuck you
656	NO	fuck
657	NO	fuck
658	NO	fuck
659	SH	fuck
660	SH	fuck
661	IH	fuck
662	SH	fuck
663	NO	fuck
664	SH	fuck
665	SH	fuck
666	SH	fuck
667	NO	fuck
668	NO	fuck
669	NO	fuck
670	NO	fuck
671	NO	fuck
672	NO	fuck
673	NO	fuck
674	NO	fuck you
675	NO	fuck you
676	NO	fuck you
677	NO	fuck you
678	NO	fuck you
679	NO	fuck you
680	NO	fuck you
681	NO	fuck you
682	NO	fuck you
683	NO	fuck you
684	NO	fuck you
685	NO	fuck you
686	NO	fuck you
687	NO	fuck you
688	NO	fuck you
689	NO	fuck you
690	NO	fuck you
691	NO	fuck you
692	NO	fuck you
693	NO	fuck you
694	NO	fuck you
695	NO	fuck you
696	NO	fuck you
697	PH	fuck you
698	NO	fuck you
699	NO	fuck you
700	NO	fuck you
701	NO	fuck you
702	IH	γυμνός
703	IH	γυμνός
704	NO	γυμνός
705	NO	γυμνός
706	NO	γυμνός
707	NO	γυμνός
708	NO	γυμνός
709	NO	γυμνός
710	IH	γυμνός
711	NO	γυμνός
712	NO	γυναικείο σώμα, γυμνός
713	NO	γυμνός
714	IH	γυμνός
715	NO	γυμνός
716	NO	γυμνός
717	SH	γυμνός
718	NO	γυμνός
719	NO	γυμνός
720	NO	γυμνός
721	-	χαζός
722	-	χαζός
723	-	χαζός
724	-	χαζός
725	-	χαζός
726	-	χαζός
727	-	χαζός
728	-	χαζός
729	-	χαζός
730	-	χαζός
731	-	χαζός
732	-	χαζός
733	-	χαζός
734	-	χαζός
735	-	χαζός
736	-	χαζός
737	-	χαζός
738	-	χαζός
739	-	χαζός
740	-	χαζός
741	-	χαζός
742	-	χαζός
743	-	χαζός
744	-	χαζός
745	-	χαζός
746	-	χαζός
747	-	χαζός
748	NO	γυναικείο σώμα
749	IH	γυναικείο σώμα
750	NO	γυναικείο σώμα
751	PH	γυναικείο σώμα
752	NO	γυναικείο σώμα
753	NO	γυναικείο σώμα
754	NO	γυναικείο σώμα
755	PH	γυναικείο σώμα
756	IH	γυναικείο σώμα
757	NO	γυναικείο σώμα
758	NO	γυναικείο σώμα
759	NO	γυναικείο σώμα
760	NO	γυναικείο σώμα
761	NO	γυναικείο σώμα
762	NO	γυναικείο σώμα
763	NO	γυναικείο σώμα
764	IH	γυναικείο σώμα
765	NO	γυναικείο σώμα
766	NO	γυναικείο σώμα
767	NO	γυναικείο σώμα
768	IH	γυναικείο σώμα
769	NO	γυναικείο σώμα
770	IH	γυναικείο σώμα
771	NO	γυναικείο σώμα
772	NO	γυναικείο σώμα
773	IH	γυναικείο σώμα
774	NO	γυναικείο σώμα
775	NO	γυναικείο σώμα
776	NO	γυναικείο σώμα
777	IH	γυναικείο σώμα
778	NO	γυναικείο σώμα
779	NO	γυναικείο σώμα
780	NO	γυναικείο σώμα
781	NO	γυναικείο σώμα